Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source
South Africa,Eastern Cape,Daliwonga Clinic,Clinic,MoH,-31.1052,29.9072,GPS
South Africa,Eastern Cape,Debe Nek Clinic,Clinic,MoH,-32.8457999999999,27.1378999999999,GPS
South Africa,Eastern Cape,Didimana Clinic,Clinic,MoH,-32.1758,26.8186,GPS
South Africa,Eastern Cape,Dimbaza CHC,Community Health Centre,MoH,-32.8352,27.2138999999999,GPS
South Africa,Eastern Cape,Donnington Clinic,Clinic,MoH,-32.7235999999999,27.4257999999999,GPS
South Africa,Eastern Cape,Dora Nginza Hospital,Regional Hospital,MoH,-33.8825,25.5630999999999,GPS
South Africa,Eastern Cape,Dordrecht Clinic,Clinic,MoH,-31.3748,27.0461999999999,GPS
South Africa,Eastern Cape,Dordrecht Hospital,District Hospital,MoH,-31.3913,27.0456,GPS
South Africa,Eastern Cape,Double Falls Clinic,Clinic,MoH,-31.3738999999999,29.123,GPS
South Africa,Eastern Cape,Dr CL Bikitsha Clinic,Clinic,MoH,-32.2781999999999,28.1054999999999,GPS
South Africa,Eastern Cape,Dr Malizo Mpehle Memorial Hospital,District Hospital,MoH,-31.3165,28.7780999999999,GPS
South Africa,Eastern Cape,Drake Road Clinic,Clinic,MoH,-32.9857,27.9292,GPS
